,accuracy,silhouette,pca_variance,feature_importance
policy_encoder,1.0,0.15468120574951172,[0.2591645  0.23364975],"[0.17323117 0.2543492  0.15345968 0.32963094 0.36091011 0.39849509
 0.0683187  0.2666419  0.20289232 0.15940474 0.05302592 0.51535099
 0.36930564 0.11547275 0.12158945 0.09550125 0.15689911 0.33456225
 0.15309054 0.28683067 0.25792502 0.29769036 0.5335284  0.11220695
 0.35810101 0.32143428 0.47913777 0.51122919 0.13291875 0.27802317
 0.13385773 0.16548149 0.39864001 0.43801208 0.25397491 0.03525266
 0.66082394 0.54556261 0.46435503 0.04818734 0.45848501 0.35312899
 0.46615827 0.26812803 0.21444513 0.09560967 0.17555596 0.1456811
 0.15037744 0.38188142 0.29249031 0.36976187 0.24827343 0.20944272
 0.1313873  0.13476257 0.30958076 0.53553259 0.40461136 0.23554236
 0.26389041 0.02787972 0.21355645 0.76675508]"
env_net,0.25,0.1580205112695694,[0.15725556 0.13696909],"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
