timestamp,split_type,target_feature,layer,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim,target_dim
20250717_234435,test_different_world,agent_sensors,env_net.mlp.0,-311.66519030962587,-325.0602957237666,11.398221542123894,32.550524880481,400,700,128,3
20250717_234435,test_same_rollout,agent_sensors,env_net.mlp.0,-516.0837815840927,-546.1609945271834,12.681254603149632,14.212332819619883,550,550,128,3
20250717_234435,test_same_world,agent_sensors,env_net.mlp.0,-31.837325028160418,-33.668315755780455,10.920945420353183,20.800417213184943,450,650,128,3
