timestamp,split_type,target_feature,layer,prediction_type,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim,target_dim
20250722_181721,test_different_world,position_delta,ltl_net.rnn,movement_delta,0.009168404413614384,-0.025623263780336525,0.00012647190109918677,0.0001340436006022072,9950,9939,32,2
20250722_181721,test_same_rollout,position_delta,ltl_net.rnn,movement_delta,0.000490301882286881,-0.002767439328328125,0.00015385086602151524,0.00010574241812994735,9895,9994,32,2
20250722_181721,test_same_world,position_delta,ltl_net.rnn,movement_delta,0.008468345463800486,-0.029492355834357498,0.00012897869827103905,0.00013170083836231946,9950,9939,32,2
