world_seed,color,n_rows,n_links,steps_median,steps_min,steps_max
1552,green,141,1,116.0,46,186
2619,blue,139,1,127.0,58,196
10961,green,139,1,243.0,174,312
194,green,138,1,69.5,1,138
5335,blue,138,1,323.5,255,392
1940,blue,138,2,179.5,111,306
4171,magenta,137,2,147.0,79,216
7857,magenta,137,1,405.0,337,473
7178,blue,137,1,132.0,64,200
1067,magenta,137,1,224.0,156,292
10670,green,137,1,246.0,178,314
11446,blue,136,1,68.5,1,136
9700,green,136,2,156.5,89,290
10185,magenta,135,1,357.0,290,424
3686,magenta,135,2,369.0,1,436
9021,yellow,135,2,281.0,1,348
4850,blue,134,1,480.5,414,547
0,green,133,1,414.0,348,480
2716,magenta,133,2,126.0,1,192
3589,yellow,132,2,239.5,174,306
5335,green,132,2,404.5,1,470
6014,blue,132,1,273.5,208,339
6887,yellow,132,1,310.5,245,376
2037,blue,132,2,188.5,60,254
7566,magenta,132,1,229.5,164,295
11155,yellow,132,1,331.5,266,397
6596,yellow,131,1,198.0,133,263
3201,green,131,1,115.0,50,180
4656,blue,130,1,65.5,1,130
3007,yellow,130,1,210.5,146,275
8148,magenta,129,1,187.0,123,251
3201,magenta,129,2,196.0,1,260
5141,magenta,127,1,441.0,378,504
1649,yellow,125,1,234.0,172,296
2231,green,125,1,119.0,57,181
4947,magenta,124,2,62.5,1,379
8342,yellow,123,1,62.0,1,123
2619,green,123,1,404.0,343,465
8148,yellow,123,2,62.0,1,334
5626,yellow,123,1,108.0,47,169
2037,yellow,122,2,123.5,1,184
679,yellow,121,1,151.0,91,211
10573,green,120,1,207.5,148,267
1649,blue,120,1,111.5,52,171
10670,magenta,119,1,60.0,1,119
4074,magenta,119,1,491.0,432,550
388,magenta,118,1,281.5,223,340
1358,magenta,116,1,205.5,148,263
0,magenta,116,1,58.5,1,116
9991,green,116,1,188.5,131,246
9312,magenta,116,1,58.5,1,116
3977,yellow,115,1,126.0,69,183
3298,yellow,114,1,219.5,163,276
2231,magenta,113,1,238.0,182,294
8730,green,113,1,307.0,251,363
10379,yellow,113,1,293.0,237,349
4268,magenta,112,1,301.5,246,357
873,green,112,1,56.5,1,112
3201,yellow,111,1,316.0,261,371
11543,magenta,111,2,56.0,1,113
1940,yellow,110,1,55.5,1,110
10088,magenta,110,1,394.5,340,449
10282,green,109,1,123.0,69,177
6402,green,108,1,193.5,140,247
6984,blue,108,1,98.5,45,152
5141,yellow,107,1,54.0,1,107
8827,yellow,107,1,54.0,1,107
9506,green,107,1,152.0,99,205
2522,magenta,105,1,53.0,1,105
5529,magenta,105,1,143.0,91,195
9409,magenta,103,1,117.0,66,168
