step,mse,r2,n_test,r2_clipped
4,0.011582743126248508,0.9806975821703625,2,0.9806975821703625
6,0.0046195285969004365,0.9930382860245626,2,0.9930382860245626
15,0.021514058171615287,0.9630729122239201,3,0.9630729122239201
37,0.00507877763263251,0.979963941813797,2,0.979963941813797
46,0.012659079071670399,0.9885926950544708,2,0.9885926950544708
71,0.005580580448496197,0.9956495964796711,2,0.9956495964796711
85,0.001602876070385533,0.9945748302718957,2,0.9945748302718957
88,0.005278531769653509,0.8175152092782506,2,0.8175152092782506
89,0.003221586921408422,0.9979395122342818,2,0.9979395122342818
90,0.003582339205252462,0.995344782917652,2,0.995344782917652
108,0.01174258451475175,0.9865861356804517,2,0.9865861356804517
118,0.07078916530218371,0.7045115887062698,2,0.7045115887062698
127,0.017131491813935116,0.1789837071698071,2,0.1789837071698071
142,0.016043531020451147,0.8801969451124281,2,0.8801969451124281
146,0.005055913113613618,0.7638874824849684,2,0.7638874824849684
157,0.0293726698487031,0.9891282839333608,2,0.9891282839333608
165,0.023750994829833165,0.9725100644451761,2,0.9725100644451761
172,0.01517544729749369,0.9918532393666288,2,0.9918532393666288
175,0.02083117949327231,0.9842366103623268,2,0.9842366103623268
185,0.050595012875098155,0.9635602543831738,2,0.9635602543831738
188,0.018796292612728888,0.9808636053218847,2,0.9808636053218847
