step,r2_train,r2_test,mse_train,mse_test,n_samples
0,0.9991515005216243,,0.00084658470437125,4.8677422815507825,3
1,0.9991514928253002,,0.0008557751497036799,4.825018830426167,3
2,0.9991515101044453,,0.0008653775397065529,4.7827650932299655,3
3,0.9991514962596324,,0.0008748475708886609,4.740608829316872,3
4,0.9991514960544018,,0.0008848818672841821,4.698323230424537,3
5,0.9991505435758703,,0.0008964153916789262,5.247787421665172,3
6,0.9991641711603874,,0.0008915802734047929,5.033870923374643,3
7,0.9992435024482309,,0.0008158755166327555,4.634437023804846,3
8,0.9991572042242579,,0.0009183258229431365,4.439074595351842,3
9,0.9992020586551575,,0.0008790069854835565,4.109076320528793,3
10,0.9995452108225347,,0.000506027794947657,3.803409145108482,3
11,0.9992899698406612,,0.0007983450018400869,3.867783089255743,3
12,0.9992132680445078,,0.0008939401933814308,3.301504730167302,3
13,0.999115084069941,,0.0010150223995031864,3.506050940357804,3
14,0.9991893377556463,,0.0009388028366786313,2.7633346265810985,3
15,0.9991082711324623,,0.001042748478760908,2.740247565583241,3
16,0.9991464260766645,,0.001007179268377969,2.27248771693359,3
17,0.9993965285820461,,0.0007185921338889651,2.4374974221551846,3
18,0.9990827743809403,,0.0011017209635570638,2.1839753989233843,3
19,0.9990784125066646,,0.001115805913407387,1.674170258415097,3
20,0.9994160708871662,,0.0007126564467156547,1.895113587579058,3
21,0.9992340079011983,,0.0009424688851730174,1.6908136775123062,3
22,0.9992835298662335,,0.0008879182791549574,1.6078434073008936,3
23,0.9992318080658891,,0.0009592798625190915,1.553446292434016,3
24,0.998868508015403,,0.001423406796799626,1.4671882583530431,3
25,0.9986799866571063,,0.0016724207138829716,1.3160903781930933,3
26,0.9992416419600125,,0.000966990794346581,1.733003476710133,3
27,0.9990244149744527,,0.0012517012027670894,1.4646298070115766,3
28,0.9985158156290073,,0.0019165508951694556,1.2876208454469555,3
29,0.9994909016776848,,0.0006613249671450849,1.2987144568960445,3
30,0.9991170773823124,,0.001153845464654526,1.2729735261187742,3
31,0.9993240768501674,,0.0008882019005429689,1.0519065737479159,3
32,0.9981769505448755,,0.002408547622316247,1.077457838980046,3
33,0.9987801991032603,,0.0016197880510816509,1.0298929061445463,3
34,0.9995620840160144,,0.0005843603704004291,1.0293915445277382,3
35,0.9989705999724154,,0.0013799115536433806,1.1151253026224761,3
36,0.9996377029313634,,0.0004879331626353105,0.9885095638326051,3
37,0.9986001229689606,,0.0018940225742484819,1.0400792212734333,3
38,0.9992302213567605,,0.0010460044734602882,0.9682430108697664,3
39,0.999469315336402,,0.000724148267003596,1.066642990317716,3
40,0.9983584346207686,,0.002248777420817535,0.9483282017156665,3
41,0.9992917182535537,,0.0009741005570933741,1.0099289001800178,3
42,0.999579664628051,,0.0005802492595615517,0.93353315633497,3
43,0.9992743414420142,,0.0010054154890436788,0.9268024556884089,3
44,0.9992641044566613,,0.0010231677021492807,0.9198672256703163,3
45,0.9993224639051015,,0.0009453845549973486,0.9778297042538802,3
46,0.9984657863992293,,0.0021478861600371887,0.9049137617999642,3
47,0.9991026623344265,,0.001260579976170913,0.8985903581168473,3
48,0.9990019013003537,,0.0014066227789180307,0.90825976855334,3
49,0.9992686663455039,,0.0010340468827354933,0.8867344149167331,3
50,0.9984931836770701,,0.002137244001814535,0.9465495546380905,3
51,0.9990849171503253,,0.0013021073968787732,0.896916442336922,3
52,0.9985015069178421,,0.002139206598232004,0.9834237775625178,3
53,0.9990720868467744,,0.0013290188783590712,0.8928134936092307,3
54,0.999392890613471,,0.0008724063659659935,0.8735946680524616,3
55,0.9990610057094618,,0.0013545256526873244,1.2934143099595221,3
56,0.9986854584078151,,0.0019025806618071708,0.9935969545148083,3
57,0.999049829686274,,0.0013802095413511567,1.2417190205927864,3
58,0.9987677836051866,,0.0017963364031754758,0.9444125436182178,3
59,0.9990926206352627,,0.0013281291672286775,1.149027404174332,3
60,0.9990030153534077,,0.0014649057341112658,1.098196763778665,3
61,0.9991078356946057,,0.001316373162741667,0.8803672670459236,3
62,0.9991033088909989,,0.0013276934464955792,0.8420172174379181,3
