component,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim,target_dim
next_agent_pos,0.961856286971879,0.5343142252954656,0.031499491321183,0.21332950576387325,2000,600,128,2
next_agent_sensors,-2.0134776547413285e+20,-7.164950460216795e+20,9.275267707997347,8.75870193926655,2000,600,128,3
next_joint_positions,0.9802912321070532,0.7812021803100653,0.0003370356400133556,0.0006946253817098946,2000,600,128,41
next_wall_lidar,0.9809560212061166,0.9543250879969851,0.0002389632853356455,0.000673918872407375,2000,600,128,16
next_wall_sensor,0.8875569727510668,0.8222476547687642,0.7029335145087322,1.111228982102174,2000,600,128,4
next_zone_directions,0.8401953003058195,-5.325238519866124,0.04860343844169132,0.34338504047620844,2000,600,128,16
next_zone_distances,0.8720583916366293,-0.6887183826378478,0.1386403767300412,1.0327617624705303,2000,600,128,8
next_zone_lidar,0.9544228064440727,0.8600953747587563,0.0013616817324074999,0.0008601203966909857,2000,600,128,16
