world_id,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim
6,0.9998113782509931,-16.891373789769165,5.644766974410375e-05,0.682523916392651,194,194,320
9,0.9997952234987442,-12.63105788174264,5.831676084899183e-05,1.4630595310927146,194,194,320
