step,mse,r2,n_test,r2_clipped
1,0.8497529431397299,0.31396116385450146,4,0.31396116385450146
5,0.29290817121038054,0.3361214120610034,4,0.3361214120610034
6,0.5296548496652174,-706.7082565886463,2,-1.0
7,0.8079859019554929,-1.094131766704075,3,-1.0
9,0.3397722700016892,0.031003931639115356,3,0.031003931639115356
12,0.35971294257929476,-37.37036488804105,2,-1.0
14,0.3410493450307981,-0.19527941423658052,2,-0.19527941423658052
17,0.20346683571676516,0.6354983083130643,3,0.6354983083130643
18,0.3897677230778783,0.648280897124905,3,0.648280897124905
19,0.24351724334819697,-1.8406939311230983,3,-1.0
20,0.15280696252772286,0.7322856474870207,3,0.7322856474870207
21,0.5260573385793346,-29.468117329050017,3,-1.0
22,0.10916051319987578,0.7061724937190432,3,0.7061724937190432
23,0.07620614770939318,0.8570762650750743,3,0.8570762650750743
24,0.2624241991913867,0.6719621043681769,3,0.6719621043681769
28,0.3014230023756674,-17.878625779841727,2,-1.0
29,0.02565619875865168,0.8606680899249267,2,0.8606680899249267
30,0.2683067459761392,0.7093828737383268,3,0.7093828737383268
31,0.18711341741623433,-0.9797051168004627,2,-0.9797051168004627
32,0.05943209430721575,0.597133315310454,2,0.597133315310454
34,0.2298325490218541,0.49585115640101957,3,0.49585115640101957
35,0.2068529263503101,0.4784624040188738,3,0.4784624040188738
36,0.16848464826253942,0.6115589068228554,3,0.6115589068228554
37,0.15903819466230681,0.407239326267697,3,0.407239326267697
39,0.18685898426883057,-5.011648808863787,3,-1.0
40,0.041276859991442774,-34.659207745494385,2,-1.0
41,0.14439497678505175,0.06686497350722753,2,0.06686497350722753
42,0.2602075655092694,0.5756456760970496,3,0.5756456760970496
43,0.2373859187489649,0.7569727577785299,4,0.7569727577785299
45,0.03802093892119524,0.8340871387744901,2,0.8340871387744901
46,0.33198200085299007,-1.862541139610282,2,-1.0
47,0.23714037849562905,0.73017064093887,3,0.73017064093887
48,0.22569445470085117,0.8290708489527597,2,0.8290708489527597
51,0.15031121367418496,0.5726508235717049,2,0.5726508235717049
52,0.048960802222419025,0.7025040845730937,2,0.7025040845730937
54,0.21012978840363367,0.7235491703351931,3,0.7235491703351931
55,0.17698848923275215,0.9160749247262739,4,0.9160749247262739
58,0.12679237650673625,-5.026867837649007,2,-1.0
59,0.15302060860912278,0.8835030921101887,2,0.8835030921101887
60,0.09108623645764582,0.9285553758911766,5,0.9285553758911766
61,0.08013467550437309,0.918620020522543,3,0.918620020522543
63,0.1089557866635135,0.7376135167811994,2,0.7376135167811994
65,0.10596135676555621,0.876674255002713,2,0.876674255002713
66,0.06487079827340417,0.812175362146276,3,0.812175362146276
70,0.17636542299858726,-0.06067051950575353,2,-0.06067051950575353
74,0.2811249005964342,0.6300805576679281,2,0.6300805576679281
77,0.08830002960133297,-0.037082715240308706,3,-0.037082715240308706
78,0.15724264028108575,0.8494642770794167,3,0.8494642770794167
79,0.23565023099764681,0.7610292383658839,5,0.7610292383658839
80,0.16607994453445202,-0.1460274703450552,3,-0.1460274703450552
81,0.2946187497342868,0.12610300559681475,2,0.12610300559681475
83,0.2222864781907274,0.37664717033881623,2,0.37664717033881623
84,0.13349400729591324,0.6936511591008345,3,0.6936511591008345
85,0.14486171579678167,0.48571857222508064,4,0.48571857222508064
87,0.2624557049578799,0.6806381223664585,3,0.6806381223664585
88,0.19730557510962088,0.8529194893754439,2,0.8529194893754439
89,0.15148052595662456,0.7123286900898909,3,0.7123286900898909
90,0.19803901695511747,-2.748966276353424,3,-1.0
91,0.22136836499207174,0.06614528642731787,2,0.06614528642731787
92,0.32223882876734267,0.6734470042404375,3,0.6734470042404375
93,0.2774294549822719,0.7852358184152406,5,0.7852358184152406
95,0.4609558589044723,-1.2986065120159522,3,-1.0
96,0.09782729120671217,0.2565022387635917,4,0.2565022387635917
97,0.21709293254181466,0.6649616801332916,2,0.6649616801332916
98,0.21750557773469403,0.8321530163326967,3,0.8321530163326967
101,0.1031876978729569,0.7055173780819854,2,0.7055173780819854
102,0.020269845658736373,-19.354889423613653,2,-1.0
104,0.20004881521437393,-21.737408248940902,3,-1.0
107,0.12207867564778282,0.8506135915176248,3,0.8506135915176248
110,0.02883114188829767,0.961311776323663,2,0.961311776323663
111,0.08594767594352194,-62.6934165117796,2,-1.0
113,0.03866924635816129,0.9562262678506934,3,0.9562262678506934
114,0.1360488713482464,0.6458632715946138,4,0.6458632715946138
116,0.04273180568607789,0.9612983449178844,2,0.9612983449178844
117,0.09011932709804284,-0.5807767236986199,2,-0.5807767236986199
118,0.11046891292467895,0.8376057455378043,5,0.8376057455378043
119,0.13911609757438342,0.6771157248270522,3,0.6771157248270522
121,0.4323860568023146,-0.6335990529152187,2,-0.6335990529152187
122,0.20715779568163573,-0.1859044591350245,3,-0.1859044591350245
123,0.29760015333684836,0.7695700707815342,3,0.7695700707815342
124,0.2917447897129193,0.8037214857478594,4,0.8037214857478594
126,0.24635326309923566,-2.692359608624855,3,-1.0
127,0.26908068170962857,0.6746496621478071,4,0.6746496621478071
129,0.3129636681361646,0.6051170581265827,4,0.6051170581265827
131,0.0934157601415977,0.8889596543849148,3,0.8889596543849148
132,0.1907635271009619,0.03982832728400776,2,0.03982832728400776
133,0.019962910098991437,0.9398919215512809,2,0.9398919215512809
134,0.1654167328728215,0.8232507400921847,6,0.8232507400921847
135,0.09302944290797215,0.7984493546062206,2,0.7984493546062206
137,0.04618293397227057,0.9447135588155379,3,0.9447135588155379
140,0.24821043084482666,-8.925136109409465,3,-1.0
141,0.02547620239381884,-1.7050694331058203,2,-1.0
143,0.2780864220947613,0.5553490701810975,3,0.5553490701810975
144,0.0509393350362133,0.9565724474830384,5,0.9565724474830384
148,0.06377532297788618,0.8199796444079164,2,0.8199796444079164
149,0.049226361993490175,0.9147582230612228,2,0.9147582230612228
150,0.05659830611971353,0.776594327723637,2,0.776594327723637
152,0.07331373256380415,0.5172236127119123,2,0.5172236127119123
154,0.20435631778041388,-4.890672043277938,2,-1.0
155,0.3099281086635483,-4.716101540365008,3,-1.0
156,0.08160685726333035,0.8632217593415693,3,0.8632217593415693
159,0.11062361712080987,0.8782667744423838,2,0.8782667744423838
161,0.07140140273503494,0.7884401690787306,4,0.7884401690787306
163,0.12436220559061688,-1.3722381569031135,2,-1.0
165,0.10128691043812614,0.815124711064344,3,0.815124711064344
166,0.09418104025225962,0.8363836111842348,4,0.8363836111842348
171,0.021510876206080148,-56.00507449358992,2,-1.0
174,0.14837363943398407,0.7957024511495808,2,0.7957024511495808
175,0.034016937233866534,-7.273151295119165,2,-1.0
177,0.23911531828885832,-7.9212386836065605,2,-1.0
178,0.1756619094944507,-0.1309594778101023,3,-0.1309594778101023
179,0.0968104438216411,0.8171195020463501,3,0.8171195020463501
180,0.036118650929047015,0.9470375690261967,5,0.9470375690261967
181,0.18414249784222864,0.7347581744250125,3,0.7347581744250125
184,0.09423784487494132,-3.269484297852874,2,-1.0
185,0.13801559752007891,0.3747624185317009,3,0.3747624185317009
186,0.061676247084195515,0.3890404333833339,2,0.3890404333833339
187,0.18908581165672864,0.7287712582210006,3,0.7287712582210006
188,0.17315371044804742,0.76178144528376,2,0.76178144528376
190,0.08689770348313991,0.8649234969787645,3,0.8649234969787645
191,0.17429268803565473,-4378.327080453835,2,-1.0
193,0.32575964542106955,-0.39572969155046994,2,-0.39572969155046994
194,0.11381306573727903,-1.8411066951734485,2,-1.0
195,0.2201479687397387,0.4908645252946787,2,0.4908645252946787
197,0.2051623659043138,-1575.6638385231533,2,-1.0
198,0.0763654055227934,-0.17566988562643282,2,-0.17566988562643282
