step,mse,r2,n_test
51,1.627509538019527,0.0414930277968234,4
52,1.9368027518662418,-0.16768671794093548,4
53,1.8314327526147494,-0.08464947087646357,4
54,3.26352084871712,-0.9465401201555647,4
55,1.923183287816876,-0.17496581876384176,4
56,3.5685897332669945,-1.2534571100675884,4
57,1.4884493099104672,0.0846202571762249,4
58,4.657906221608251,-2.1071785098256477,4
59,2.1673288553382184,-0.4735745484863665,4
60,3.1661138681399805,-1.1000666107626853,4
61,1.3735402769865135,0.14183936022074284,4
62,2.127043310166539,-0.42388669964831033,4
63,1.3548120122803002,0.09545243164852257,4
64,1.6633470394306464,-0.10541667636488439,4
65,1.3873377195164476,0.08631814780585528,4
66,2.7345762977244217,-0.8001095057011475,4
67,1.5622164871560558,-0.025592539006859982,4
68,2.2557797143877836,-0.4854583332489204,4
69,3.0890403042639276,-1.0276600443388464,4
70,3.0257536221753702,-0.997053288017595,4
71,3.4736584592258675,-1.2824501891416258,4
72,3.0363637838201507,-1.0040895275528818,4
73,2.689644572108155,-0.7888375995191369,4
74,3.334074828046785,-1.2356629237041858,4
75,3.095193735541831,-1.0798590376543198,4
76,2.3138339628421303,-0.535721344275919,4
77,2.6928409970253124,-0.8626992207108325,4
78,2.352671774708301,-0.6388696318436886,4
79,2.789903037278582,-0.9754516677412483,4
80,2.007573768854465,-0.3711698814843071,4
81,2.556052362566681,-0.8265916339090748,4
82,2.3703636465871316,-0.6478117115947004,4
83,1.7857788293131989,-0.23814160753906666,4
84,1.7201925409545984,-0.23492296952877068,4
85,2.2141088103096083,-0.5017254376824977,4
86,1.2895161832576945,0.03386022664037741,4
87,1.8601287075628088,-0.43633159659455467,4
88,1.9190032942399746,-0.4020816886379155,4
89,2.9990121884283085,-1.226907859295463,4
90,4.481184065818423,-2.2157788444871187,4
91,3.6182165557550414,-1.6987344587354893,4
92,4.600253427494087,-2.47759760714292,4
93,2.2617813843728607,-0.8351465908163364,4
94,3.5830042787172873,-1.7700236714611708,4
95,2.579346044081957,-1.0728990949847996,4
96,3.795245885168278,-1.914292748476842,4
97,2.236044099301429,-1.0276770440007383,4
98,2.492468715243695,-1.1676510654527847,4
99,4.176145294944491,-2.5327325832116214,4
100,3.2800732803158077,-1.8452116612893974,4
101,4.30243206571293,-2.7124585637361562,4
102,3.2036159339910872,-1.9447328833273752,4
103,3.23543421173743,-2.01424143341157,4
104,2.6516678807639207,-1.5454872097347871,4
105,1.7621728091659528,-0.7600973124417869,4
106,1.9684897864969018,-0.8150739260619421,4
107,3.077250790531523,-1.7768161897858037,4
108,2.8323216173655235,-1.706234572685803,4
109,2.750908508328074,-1.5232094756892716,4
110,1.8298840854263076,-0.7645899826846783,4
111,2.8383187666490652,-1.7301483728037985,4
112,2.0026090173055664,-1.082556389555903,4
113,3.655130728229197,-2.4706075074168403,4
114,3.2763311761498013,-2.101740146538101,4
115,3.8891223454088006,-2.6068538957635985,4
116,3.1839267904048185,-2.238547249932136,4
117,3.2842996991006475,-2.2688831129277043,4
118,3.0465507345973357,-1.970596615544403,4
119,3.574879037397328,-2.4936371799794825,4
120,3.927228578329166,-2.8027057494859213,4
121,3.0374545931586097,-2.0073649735636945,4
122,4.92614456594389,-3.6486385062791444,4
123,3.4135062157299028,-2.2571982897522402,4
124,3.147115211406662,-2.0288770262141154,4
125,3.2112375170880343,-2.0667943442066186,4
126,3.8349566914897055,-2.6207410461576472,4
127,3.446385867657942,-2.2263689417929733,4
128,3.138800966313474,-1.9161267728313063,4
129,3.6229312950242383,-2.3304597241683846,4
130,3.6067008050339697,-2.267184533250837,4
131,3.6597007174583793,-2.262948864776781,4
132,4.524775915409545,-2.985879096110349,4
133,5.073727209654272,-3.4212168699315892,4
134,4.673754715345307,-2.9963730690331865,4
135,5.280633564881321,-3.4444695752088474,4
136,4.7298475528365085,-2.9079894865680904,4
137,5.278834141032076,-3.335226185485493,4
138,4.867997256202171,-2.868849177279299,4
139,4.567145884353715,-2.5848765392966566,4
140,4.692402607481459,-2.598109154209155,4
141,4.986734852762172,-2.761502713394436,4
142,4.469366100491546,-2.2906571072861626,4
143,5.325294814498376,-2.971923064466433,4
144,5.429244491228117,-3.029335416813934,4
145,4.834853530142724,-2.410228959876981,4
146,5.215172896710992,-2.6342777316080106,4
147,4.287594675378383,-1.8971501020159256,4
148,4.034611854348302,-1.635299160359756,4
149,3.9337600844703715,-1.5928908210894852,4
150,3.9179755470192434,-1.619037369198731,4
151,4.034155456142068,-1.547908568335295,4
152,3.537854081163784,-1.212413827901878,4
153,4.252868230531034,-1.6552935817336631,4
154,5.163578373993888,-2.125038235570101,4
155,4.248875338379382,-1.5076893669799563,4
156,3.6789336815277967,-1.199819234657542,4
157,3.799924158916682,-1.2508748606823794,4
158,5.208997642659343,-1.935743735032706,4
159,4.805973209525927,-1.7231324231591696,4
160,5.40112016960053,-2.1217513134011954,4
161,4.553338998600114,-1.5714922061064964,4
162,4.4401519973243335,-1.465814670121179,4
163,4.556387676594715,-1.534330872406579,4
164,4.011079150248173,-1.2669456238122974,4
165,4.605629532365354,-1.5693015369073184,4
166,4.543916067836518,-1.4455705375814567,4
167,4.723328792016147,-1.5730039401492495,4
168,4.890980015473421,-1.6016683029665248,4
169,5.073861875746839,-1.8349610223458859,4
170,5.274375478267217,-1.8461055256724463,4
171,5.463693494174529,-1.9330829964767782,4
172,4.504620961500464,-1.4565729575685986,4
173,5.06493563628147,-1.6794463050951787,4
174,5.837389355834091,-2.1541961747854685,4
175,4.910354787478558,-1.6489507033610629,4
176,5.4075580700152885,-1.909148926792553,4
177,5.305907047948787,-1.7946050693297777,4
178,4.372258501290942,-1.2930134000256732,4
179,5.052877621946973,-1.6613137397020878,4
180,4.750529121148856,-1.473927771785149,4
181,3.7323414314149965,-0.8667570754537968,4
182,5.372046699682219,-1.7961947762277757,4
183,4.87901384203659,-1.5606857939815928,4
184,5.198544019243046,-1.7191351332940938,4
185,4.708938969700697,-1.442437962665036,4
186,5.06556548584439,-1.7250192999845568,4
187,5.786887225163593,-2.090602699120189,4
188,5.794381255360466,-2.0858745373623715,4
189,6.346652728874581,-2.4814883756594948,4
190,6.065452918619753,-2.307797238975737,4
191,5.640769447439011,-2.0269882296686546,4
192,5.657780338792779,-1.9977362582986067,4
193,5.905945431579477,-2.084328374111191,4
194,4.809130235945779,-1.4749817030325143,4
195,5.326768057887739,-1.795177816715729,4
196,3.8429513467647833,-0.9812063600334031,4
197,3.809146088958442,-0.9834345709541008,4
198,3.4337406836939874,-0.7826248721617243,4
199,3.136674391149284,-0.6331912300501693,4
200,3.8421078142774974,-1.0298434667395746,4
201,2.9435698749320722,-0.5415658218613281,4
202,3.6259730206591065,-0.9349466627779682,4
203,2.8987940145971183,-0.5421929762448728,4
204,2.6630886649721943,-0.4242825652341241,4
205,2.3480239013990074,-0.26092296681037863,4
206,2.6649243787832395,-0.44377103844746674,4
207,2.255242796099986,-0.23014148705881632,4
208,2.47423022804214,-0.35965675943521486,4
209,2.8061579760055224,-0.552484948753348,4
210,2.593426040632863,-0.4430300480116057,4
211,2.5680903680031313,-0.43852993693362197,4
212,3.099291448490493,-0.7476658979941767,4
213,2.8755944572296426,-0.6325817517247502,4
214,3.2418900407158278,-0.8532795313034635,4
215,2.9540383765863396,-0.7006567080329437,4
216,2.7056957675126503,-0.5686968173706761,4
217,3.05664114188044,-0.7850948538249164,4
218,3.2208424932709,-0.8962034202148267,4
219,2.9867073084278353,-0.771196452971328,4
220,2.67085892096327,-0.5939107047438454,4
221,3.4699718486408906,-1.0895079161500771,4
222,3.4538922241028303,-1.094499753432864,4
223,3.0239437749719533,-0.8394128249287676,4
224,4.5961219470832155,-1.828559869837386,4
225,4.059584341248991,-1.5010610281036918,4
226,3.580987709199578,-1.216846808981558,4
227,3.552174554479917,-1.2090812123851737,4
228,3.231539645230457,-1.0209839551679192,4
229,3.925171394952781,-1.463593704597555,4
230,4.301105479825851,-1.73517509919568,4
231,3.555639360269039,-1.246270122330604,4
232,2.8113002187103255,-0.7692737610015341,4
233,2.8212263229211274,-0.7791970319390694,4
234,2.8548013453698484,-0.8175503523902449,4
235,2.9338289813733205,-0.8649392887541346,4
236,2.644742718813415,-0.6863316778997535,4
237,2.730862552445318,-0.7535774314215287,4
238,2.5726463207367365,-0.6639185396206064,4
239,2.624870778489843,-0.7045734708034854,4
240,3.087963731084643,-1.049161755603393,4
241,3.4190224292957643,-1.2965693391107445,4
242,3.0499580454649173,-1.0317246381425909,4
243,2.739620472386114,-0.7969497083522996,4
244,2.424305628202071,-0.6512214879760093,4
245,2.7227025965027036,-0.8354339305685202,4
246,1.8162549794375136,-0.2529849325772003,4
247,2.130620485563094,-0.4486681428955614,4
248,2.268158537777235,-0.5707424706836268,4
249,2.8552708465646717,-0.9538476652974813,4
250,2.1029269237248154,-0.4422067554449275,4
251,2.6282687064725807,-0.7972946326135006,4
252,2.2369016531232893,-0.5085919816695937,4
253,2.0990066997870636,-0.41205938106288276,4
254,2.7454677093368147,-0.822858494421987,4
255,2.371134713016843,-0.59806999163268,4
256,3.7691218004732767,-1.5604245488632424,4
257,2.370820986947305,-0.5627919011307108,4
258,2.8383483367673707,-0.927401692539555,4
259,2.234270746708619,-0.5111356115702901,4
260,2.5338058649744997,-0.7297202825247554,4
261,2.9544045253573037,-1.0192980892140708,4
262,2.3081303748599327,-0.6173283826972903,4
263,2.5809993459334977,-0.8631830882872314,4
264,3.507744070290342,-1.474295417926564,4
265,2.5013328813301676,-0.7811673883132015,4
266,3.279371893657045,-1.3152969296196002,4
267,2.809702092141005,-1.0023403825254755,4
268,3.659585755986522,-1.6806970608859215,4
269,3.908419707456105,-1.8582682970085744,4
270,4.3081318733290495,-2.166174075924938,4
271,4.307414507329422,-2.172150821808087,4
272,3.916892981093002,-1.8982724187778324,4
273,4.427043386716756,-2.291350198765282,4
274,4.824170252208554,-2.601881349356378,4
275,4.606137253615728,-2.4378878824164643,4
276,3.921618162454577,-1.9300151703181383,4
277,4.31075562428465,-2.2333191546695352,4
278,3.6638453007917757,-1.7690834797308967,4
279,5.256665701185984,-3.000762620079653,4
280,4.406900932676658,-2.3665776818332946,4
281,3.8173298474723465,-1.9291926007525355,4
282,5.599718439922436,-3.305767298417745,4
283,4.51705424487378,-2.472465195712737,4
284,5.128456980908574,-2.961294650363386,4
285,4.137971695433474,-2.2463245560527203,4
286,3.8421728461748326,-1.984123208697885,4
287,4.593350527496693,-2.6097138023880184,4
288,3.302368354615721,-1.600487854812382,4
289,5.054959094759646,-2.936359338020384,4
290,3.530721944732858,-1.7624764671041258,4
291,4.3113621535748266,-2.36652128831235,4
292,3.677867306029622,-1.86691294579072,4
293,3.196568641333084,-1.4311553299426885,4
294,2.8234919214896737,-1.2109012636940775,4
295,3.82506611554333,-1.9026553917700304,4
296,2.4304508102715285,-0.8443338194102062,4
297,3.07676935504347,-1.3467701102737544,4
298,1.9813639176298403,-0.5447606347271161,4
299,1.8649271625576858,-0.46183811047101253,4
300,1.6088362897447945,-0.17130798668543085,4
301,2.0710425662239484,-0.6008252390671021,4
302,2.3348938893379287,-0.6983691190153607,4
303,2.252159732623733,-0.7080863260031964,4
304,2.339099783993512,-0.7182849356182901,4
305,1.5889704517284162,-0.26072788454409745,4
306,2.0881838006060303,-0.6073081088084568,4
307,2.3614002440721045,-0.8051251606582815,4
308,1.9871290201995278,-0.5583285836547621,4
309,1.8929710097065329,-0.49553662676978016,4
310,1.6553530644465329,-0.31962982777426147,4
311,1.69985451165567,-0.3621126078919855,4
312,2.611290687768707,-1.0751973254745795,4
313,1.8010632088061547,-0.46803479761087835,4
314,2.7472759237045143,-1.276698660964994,4
315,2.424597869523261,-0.9761903653849721,4
316,2.15358302433582,-0.7703154969753598,4
317,3.2538762067617553,-1.6680442629305867,4
318,2.9641326428318733,-1.4073889986023576,4
319,3.187473018501469,-1.633119317818556,4
320,2.6794969434865754,-1.1939241694003093,4
321,3.7660694612891015,-2.095484607774368,4
322,2.4298726532915618,-1.0078129118611485,4
323,3.6017971434804656,-1.9586734421791028,4
324,2.5726606787227384,-1.1198284747792764,4
325,3.478356215203207,-1.8611738766261678,4
326,2.5402897891269123,-1.0748890796716872,4
327,3.0975026134908625,-1.5339587540136301,4
328,2.775119476931749,-1.2436401151050425,4
329,2.9194400440041264,-1.3637922903751911,4
330,3.945716707912365,-2.117352920597619,4
331,4.023979302556321,-2.124603488048465,4
332,3.147351424559982,-1.4360616834280326,4
333,3.6080980581524846,-1.763745216224453,4
334,3.2353622376598334,-1.4960109496178764,4
335,4.589262343323034,-2.4076475499748424,4
336,4.665424254609335,-2.53544632880845,4
337,3.3068436684837006,-1.423174838117831,4
338,3.312788309263209,-1.4198392510321782,4
339,2.5763084978113953,-0.862764742012452,4
340,2.8727284068529086,-1.0417888680946503,4
341,4.017395322960672,-1.7684117058235818,4
342,3.2382814037457592,-1.25601157303125,4
343,4.108288573676479,-1.7610234073577966,4
344,4.06305977174307,-1.692729685573102,4
345,3.3032912945043647,-1.1432308164454206,4
346,3.453769021203869,-1.206299554365681,4
347,3.9942552965691838,-1.5487797131443832,4
348,4.631367354690155,-1.8733449611517012,4
349,4.348175177747741,-1.6330377269822465,4
350,4.346264821745452,-1.5893550764893596,4
351,5.858726737760624,-2.3842010216877427,4
352,4.88009299790582,-1.910908061951909,4
353,6.753033232140961,-2.9291754757622765,4
354,4.9142353791684075,-1.7298202012981194,4
355,5.632747233698478,-2.1552024742592497,4
356,4.192522033433915,-1.3689037518737415,4
357,5.45096864771701,-1.9745931782984638,4
358,5.108851896612044,-1.7941437417772077,4
359,4.767209961703151,-1.7317776200260977,4
360,4.213275930207382,-1.3330462190076737,4
361,3.5524081524648454,-0.9597309539927545,4
362,4.69296050116335,-1.5171095919980484,4
363,4.6296739806455856,-1.3983433803979204,4
364,6.369270291849675,-2.2447773368179877,4
365,5.337759545694924,-1.7409777907496022,4
366,6.185420736793659,-2.129840961251427,4
367,5.828431730075464,-1.843955875278661,4
368,6.508250790490874,-2.2603561562898875,4
369,6.322705383766387,-2.1488536984917745,4
370,7.129480972455996,-2.4564792848820924,4
371,6.025810959860118,-1.8756735884542708,4
372,7.887371341601831,-2.76473417854819,4
373,5.046415286147808,-1.4201707892699547,4
374,5.6646716652905,-1.6925518525820984,4
375,5.010004803441976,-1.4414974775213056,4
376,5.038776462293541,-1.4092846020898464,4
377,4.644879599034024,-1.2509921752393924,4
378,4.9308711621204635,-1.4530021979586842,4
379,3.158808768208739,-0.6383164051664776,4
380,3.487305050491265,-0.7739980383887489,4
381,3.402102326213713,-0.6856035252002937,4
382,4.559468537563884,-1.2661135584309993,4
383,4.48664832303504,-1.2240675559592624,4
384,3.5230347911595534,-0.7919380270649448,4
385,3.480074828259935,-0.7587706357533195,4
386,2.7971779220248254,-0.4163284088275048,4
387,3.011830998768239,-0.5213306724234048,4
388,2.7308251550541476,-0.39096416958832136,4
389,3.0720558900120682,-0.5789372235247716,4
390,2.5799644869360363,-0.3360521057695195,4
391,3.1422759390386035,-0.6345352798052082,4
392,3.6216121958377534,-0.9070374312933799,4
393,4.562235797384228,-1.4149739431119719,4
394,4.523052242781256,-1.4282080666089183,4
395,5.455398891089445,-1.9635161033256363,4
396,5.017672584274036,-1.762497051450882,4
397,4.761575948933883,-1.6553389645350194,4
398,5.231518455782678,-1.956773320104073,4
399,4.887169455131788,-1.8094284679478636,4
400,5.962537555930396,-2.4867600421998968,4
401,5.499882143117823,-2.2780064242775584,4
402,7.382757349068682,-3.4830441788182744,4
403,6.994642511323554,-3.332916332533522,4
404,7.961012045705948,-4.013210656199163,4
405,7.2144146200394355,-3.6477993813365512,4
406,7.043325017661454,-3.605319669673056,4
407,5.087751007850447,-2.3594411115577865,4
408,6.780456559610264,-3.568345783898063,4
409,6.375872590663377,-3.3786507695586474,4
410,6.157190041954912,-3.325620188705888,4
411,5.98722250076873,-3.2226605084036586,4
412,5.953866936628042,-3.270455029802534,4
413,6.510737305556873,-3.6340665628953963,4
414,5.99155222472967,-3.4198583520582595,4
415,5.1775853605655175,-2.6718778830901955,4
416,5.216226061425774,-2.828054491146839,4
417,4.142365568614229,-2.11577827195625,4
418,4.727434008466087,-2.4663655474578214,4
419,3.421064552966613,-1.6442975022049546,4
420,5.244176511875294,-2.9611834019842123,4
421,3.8584228425054246,-1.8528314522067326,4
422,4.052536960330052,-2.109523111379178,4
423,2.817980021445403,-1.2891147289635518,4
424,3.7030402198537375,-2.1337493472724196,4
425,2.2326133517174016,-0.863776940903065,4
426,3.735806425362356,-1.91928739386423,4
427,3.9041639900565506,-1.992526833558921,4
428,3.6064778761317284,-1.8295572617668312,4
429,3.906335827873745,-2.1948826680291846,4
430,3.7015540185275837,-2.0355846123718004,4
431,4.346998101635712,-2.482270216768524,4
432,3.3978685386444774,-1.8069460332064757,4
433,4.267196195495696,-2.668995777872906,4
434,3.9077963915666536,-2.3288582040773997,4
435,3.4595443094364153,-1.9643869193206513,4
436,3.6883428448575803,-2.147365672684649,4
437,3.7640243928538486,-2.1822832876704314,4
438,3.1107798334219345,-1.6579103527169015,4
439,2.882788154702181,-1.456046787346117,4
440,4.044732845860792,-2.4052218269283405,4
441,4.370623071007073,-2.642974162107536,4
442,3.9715291621480673,-2.25820498892129,4
443,5.012063209765585,-3.1268219685394776,4
444,3.89968727474887,-2.0452927066043616,4
445,4.141129959205322,-2.304148649678388,4
446,4.1581213791846015,-2.208782172186449,4
447,3.9373858939960327,-2.103885398768883,4
448,5.124100763066573,-2.855244579584374,4
449,4.401393414074569,-2.392236821177717,4
450,4.130488012311083,-2.1725000819265077,4
451,4.365045921481606,-2.27141648032177,4
452,4.418491714281901,-2.2789493368593305,4
453,4.376720731922617,-2.221876309380077,4
454,4.161051106943436,-2.0417048127149005,4
455,5.011726616843075,-2.6049358588531177,4
456,5.353467156653487,-2.6186277573309393,4
457,3.6314466332694977,-1.5173332669697193,4
458,3.5750659196739853,-1.392782146399558,4
459,3.1719298946588124,-1.1989751909803572,4
460,2.7156472433090246,-0.8598162281260714,4
461,3.0013949704535907,-1.0576552927628269,4
462,3.6993131936704033,-1.5434359676447746,4
463,2.749970674150023,-0.8740718835209922,4
464,3.680967578479077,-1.4848339574603027,4
465,2.2731282858093778,-0.5064486390199991,4
466,2.4200154333702395,-0.6217936087820156,4
467,2.3984559734761737,-0.5805774652051171,4
468,2.260623184406398,-0.533485327970748,4
469,1.878901063781325,-0.22368427302818644,4
470,2.3362677034215173,-0.5327103409613382,4
471,2.3481517187491194,-0.5360557758025963,4
472,2.0599391908665377,-0.3228154064509227,4
473,3.076842394450595,-0.9493285511897818,4
474,2.1900089048785487,-0.47014681861248436,4
475,3.6239076780092563,-1.3974109693814376,4
476,3.791261589206478,-1.3478160719913594,4
477,3.7401614225194137,-1.4288285982909268,4
478,3.328873843709181,-1.1257655947153484,4
479,3.8251710824681586,-1.3871519636944065,4
480,3.8296395886940875,-1.3269665517973452,4
481,3.6279544489304865,-1.323078056307745,4
482,4.1272724269093395,-1.5466768479301112,4
483,3.1101367573749426,-0.9819477821421366,4
484,3.7817736698228264,-1.4060909430894817,4
485,4.120885587861662,-1.717024776540756,4
486,3.3627119767094253,-1.2048338996002284,4
487,4.8717819188146745,-2.1873774575560687,4
488,3.0578093524316534,-1.0098177843390272,4
489,5.255614244960699,-2.4255167207975465,4
490,4.674106515053076,-1.8477635174294924,4
491,4.2163850534119,-1.7563690381209853,4
492,3.8058762277215745,-1.4231969741263477,4
493,5.729431838120872,-2.4988670776957655,4
494,4.228891593465197,-1.716279458249767,4
