step,mse,r2,n_test
0,3.3138221328287134,-2.071821977593169,10
1,3.3115218296182833,-2.071670289367576,10
2,3.3085996382254814,-2.0707642190469544,10
3,3.3050648580702613,-2.0702315368236412,10
4,3.3009148514046043,-2.0692438302321694,10
