target,variant,action,auroc,delta,test_bases
"cell(0,1)_ch7",base,all,0.6114754098360656,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,all,0.5475409836065575,-0.06393442622950818,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,all,0.45245901639344266,-0.15901639344262297,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",base,0,0.6568627450980392,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,0,0.6764705882352942,0.019607843137254943,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,0,0.5,-0.1568627450980392,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",base,2,0.125,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,2,0.125,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,2,0.5,0.375,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",base,3,0.7272727272727273,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,3,0.8181818181818181,0.09090909090909083,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,3,0.5,-0.2272727272727273,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,all,0.7295081967213116,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,all,0.7032786885245902,-0.02622950819672143,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,all,0.5737704918032788,-0.15573770491803285,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,0,0.8611111111111112,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,0,0.8611111111111112,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,0,0.5,-0.36111111111111116,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,1,0.25,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,1,0.25,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,1,0.5,0.25,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,2,0.7763157894736843,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,2,0.7763157894736843,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,2,0.5,-0.2763157894736843,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",base,all,0.5819672131147541,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",plus,all,0.521311475409836,-0.060655737704918056,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",action_only,all,0.45901639344262296,-0.12295081967213112,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",base,0,0.7894736842105263,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",plus,0,0.7894736842105263,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",action_only,0,0.5,-0.2894736842105263,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",base,1,0.75,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",plus,1,0.8333333333333334,0.08333333333333337,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",action_only,1,0.5,-0.25,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",base,2,0.39473684210526316,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",plus,2,0.39473684210526316,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",action_only,2,0.5,0.10526315789473684,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",base,3,0.4545454545454546,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",plus,3,0.5454545454545454,0.09090909090909083,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch7",action_only,3,0.5,0.045454545454545414,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",base,all,0.30000000000000004,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",plus,all,0.2163934426229508,-0.08360655737704925,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",action_only,all,0.2885245901639344,-0.011475409836065653,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",base,0,0.45833333333333337,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch8",plus,0,0.45833333333333337,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
