feature,dir,alpha,dce,flip_rate
actor_prelogits,PC1,0.0,1.519947454009518e-08,0.0
actor_prelogits,PC1,0.25,-0.05812851565771451,0.06168446026097272
actor_prelogits,PC1,0.5,-0.054694771407233334,0.12336892052194544
actor_prelogits,PC1,1.0,0.07925257325314869,0.1542111506524318
actor_prelogits,rand1,0.0,1.519947454009518e-08,0.0
actor_prelogits,rand1,0.25,0.027337528701293773,0.0011862396204033216
actor_prelogits,rand1,0.5,0.06077306590990658,0.0071174377224199285
actor_prelogits,rand1,1.0,0.14811833187520243,0.01542111506524318
actor_prelogits,rand2,0.0,1.519947454009518e-08,0.0
actor_prelogits,rand2,0.25,0.07889664100102364,0.017793594306049824
actor_prelogits,rand2,0.5,0.19712204523889196,0.07947805456702253
actor_prelogits,rand2,1.0,0.5133855031434147,0.1055753262158956
actor_prelogits,rand3,0.0,1.519947454009518e-08,0.0
actor_prelogits,rand3,0.25,0.016239467703000637,0.0011862396204033216
actor_prelogits,rand3,0.5,0.036139359391192144,0.005931198102016607
actor_prelogits,rand3,1.0,0.08796948296801124,0.017793594306049824
actor_prelogits,rand4,0.0,1.519947454009518e-08,0.0
actor_prelogits,rand4,0.25,0.07800285956002981,0.0071174377224199285
actor_prelogits,rand4,0.5,0.17783244349666502,0.014234875444839857
actor_prelogits,rand4,1.0,0.4511091806467359,0.04033214709371293
