layer,alpha,dce,flip_rate
actor_prelogits,0.25,0.0628842652176112,0.0118623962040332
actor_prelogits,0.5,0.1870220188173334,0.0747330960854092
actor_prelogits,1.0,0.665591234911405,0.1696322657176749
actor_mid,0.25,-0.0640318329576811,0.0616844602609727
actor_mid,0.5,-0.0590833058598853,0.1233689205219454
actor_mid,1.0,0.0809239122999726,0.1518386714116251
critic_mid,0.25,0.0031267563663401,0.0557532621589561
critic_mid,0.5,0.0140066120687747,0.1174377224199288
critic_mid,1.0,0.0577981769796278,0.2194543297746144
