action,auroc,delta,metric,target,test_bases,variant
all,0.45209293394777267,0.0,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,0.8140360983102919,0.3619431643625192,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,0.9032258064516129,0.4511328725038402,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
0,0.5069444444444444,0.0,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
0,0.5297619047619048,0.022817460317460347,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
0,0.5,-0.00694444444444442,,agent_next_cell_1_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.5007333333333333,0.0,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,1.0,0.49926666666666675,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,1.0,0.49926666666666675,,agent_next_cell_5_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.4793666666666667,0.0,,agent_next_cell_6_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,1.0,0.5206333333333333,,agent_next_cell_6_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,1.0,0.5206333333333333,,agent_next_cell_6_0,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.46076666666666666,0.0,,agent_next_cell_6_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,1.0,0.5392333333333333,,agent_next_cell_6_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,1.0,0.5392333333333333,,agent_next_cell_6_5,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.5181760204081632,0.0,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
all,0.7279974489795918,0.2098214285714286,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
all,0.8826530612244898,0.3644770408163266,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
0,0.5298913043478262,0.0,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,base
0,0.5230978260869565,-0.006793478260869623,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,plus
0,0.5,-0.029891304347826164,,agent_next_cell_6_6,1;10;12;15;21;37;45;46;54;56;60;65;75;76;78;90;96;100;102;108;118;124;132;142;144;153;154;157;159;170;171;173;175;179;191;196;200;205;208;213;219;220;221;224;233;235;238;240;241;250;254;264;271;276;283;289;295;300;301;311;316;322;325;326;327;329;330;340;342;343;348;353;355;362;363;366;367;372;374;379;387;390;402;403;418;421;425;428;438;440;445;451;461;468;469;475;484;489;491;492,action_only
all,0.4826710980988693,0.0,,__summary__,,base
all,0.8734022600209036,0.3907311619220343,,__summary__,,plus
all,0.9434704557038203,0.46079935760495094,,__summary__,,action_only
0,0.4920794000685305,0.0,,__summary__,,base
0,0.4976882371855198,0.005608837116989285,,__summary__,,plus
0,0.5,0.007920599931469485,,__summary__,,action_only
used,7.0,0.0,,__summary__,,n_targets
