feature,mode,alpha,dce,flip_rate
actor_prelogits,steer,0.0,1.519947454009518e-08,0.0
actor_prelogits,steer,0.25,0.06288426521761123,0.011862396204033215
actor_prelogits,steer,0.5,0.1870220188173334,0.07473309608540925
actor_prelogits,steer,1.0,0.665591234911405,0.16963226571767498
