target,variant,action,auroc,delta,test_bases
"cell(0,1)_ch7",base,1,0.41666666666666663,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,1,0.41666666666666663,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,1,0.5,0.08333333333333337,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",base,2,0.736842105263158,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,2,0.736842105263158,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,2,0.5,-0.23684210526315796,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",base,3,0.5454545454545454,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",plus,3,0.5454545454545454,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,1)_ch7",action_only,3,0.5,-0.045454545454545414,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,all,0.4163934426229508,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,all,0.5,0.0836065573770492,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,all,0.5885245901639344,0.17213114754098363,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,1,1.0,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,1,1.0,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,1,0.5,-0.5,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,2,0.15740740740740744,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,2,0.15740740740740744,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",action_only,2,0.5,0.34259259259259256,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",base,3,0.6363636363636364,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
"cell(0,2)_ch4",plus,3,0.6363636363636364,0.0,50;51;81;117;123;132;159;191;217;248;254;257;293;317;325;350;391;412;418;464;484;489;551;572;593;613;692;717;719;737
