timestamp,probe_type,split_type,target_feature,r2_train,r2_test,mse_train,mse_test,n_train,n_test,n_components,original_dims
20250723_144240,output,temporal,agent_pos,0.8731365871849461,0.5045052210634422,0.1729657491365795,0.6125500086852134,225,225,12,64
20250723_144240,output,spatial,agent_pos,0.9434145382483852,-1.658028657117777,0.05043049292435847,3.20427269993326,200,250,9,64
20250723_144240,output,environmental,agent_pos,0.9025018434344423,0.08960527299624704,0.127489339170531,1.1384745889776222,150,300,7,64
