method,k_steps,goal,n_samples,distance_r2,mean_distance
raw_input,1,FG blue,12686,-0.4318621417831401,0.014487516123864926
raw_input,1,FG green,12644,-0.6636962786510827,0.016131508327185705
raw_input,1,FG yellow,12465,-0.5111342402717678,0.01515964607136937
raw_input,1,FG magenta,12609,-0.9082757204430341,0.015188940401768587
