world_id,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim
0,0.9977321365325366,-1.4339809586452708,0.00041254419435630903,0.09978081135382241,197,197,64
6,0.9989587724829785,-30.1982183124104,0.00035451339145297267,0.791008851892526,197,197,64
9,0.9623186321185048,-43.80159336011814,0.0038572702726886645,1.6028405891203366,394,197,64
