target,hidden_score,input_score,variance_explained,metric,shape,train_samples,test_samples
executed_action,0.8,0.6333333333333333,0.16666666666666674,accuracy,1,30,30
executed_action_vector,-3.6109332766896465,0.45243385149184234,-4.063367128181489,R²,2,30,30
next_action,0.8,0.6333333333333333,0.16666666666666674,accuracy,1,30,30
target_zone_id,0.26666666666666666,0.26666666666666666,0.0,accuracy,1,30,30
success_probability,-3.80171574902099,-14.175463910551917,10.373748161530926,R²,1,30,30
current_goal_colour,0.0,0.0,0.0,accuracy,1,30,30
distance_to_goal,-2.124999881507138,-5.525823373717656,3.400823492210518,R²,1,30,30
episode_quartile,0.4666666666666667,0.4666666666666667,0.0,accuracy,1,30,30
step_number,-31.492412567138672,-2.6250367164611816,-28.86737585067749,R²,1,30,30
