step,world_id,r2_train,r2_test,mse_train,mse_test,n_samples
59,6,0.9997747932555325,,0.00035233225131463145,0.0003523302629090503,2
59,9,0.9993490983343287,,0.0003916748157332118,0.0006777194126637409,3
60,6,0.99978149163143,,0.00034428640234176403,0.0003442865076866607,2
60,9,0.9991338966643204,,0.0006108874663852639,0.0011141421407097867,3
61,6,0.9997699084242009,,0.000364861504472394,0.00036486548539749365,2
61,9,0.9990383651043417,,0.0006919564346662119,0.001289820928131286,3
62,6,0.9998247578363639,,0.0002795755879612979,0.00027957343836178825,2
62,9,0.9987421787961092,,0.0008748083247148835,0.0016720661744918466,3
63,6,0.9997852156737113,,0.00034438741262676645,0.00034439139102723543,2
63,9,0.9987340685536528,,0.0009107781190013512,0.0017442589027255914,3
64,6,0.9998414997357088,,0.00025519567676060247,0.0002551944152024818,2
64,9,0.9987925672169209,,0.0008716323133976429,0.0016845303892636557,3
65,6,0.9997957570325855,,0.0003301485335903339,0.0003301464611182672,2
65,9,0.9989751170115713,,0.0007668182763054845,0.001452911136112343,3
66,6,0.9997981700512869,,0.0003272019600139564,0.00032720716808346987,2
66,9,0.9989073676655781,,0.0008457773581925724,0.0016185575457705703,3
67,6,0.9997902061752868,,0.0003408721506071376,0.00034086656967946213,2
67,9,0.9993003321442955,,0.000592037913813612,0.0011160170133662814,3
68,6,0.9998097381135078,,0.0003097352384338342,0.00030973922939919084,2
68,9,0.9991794121290043,,0.0008084170298042933,0.0015014454428202875,3
69,6,0.9997378197349522,,0.00042703186673316584,0.00042702662553812775,2
69,9,0.9989522660844162,,0.0009224288006281279,0.0018023051791983572,3
70,6,0.9998041591286098,,0.0003187536591259185,0.00031875611483461893,2
70,9,0.998274051434999,,0.001343594374447899,0.002599523890467028,3
71,6,0.9997311497503105,,0.00043694169888634814,0.0004369390829596114,2
71,9,0.999321476436033,,0.0005558624571269365,0.000947154194795538,3
72,6,0.9998001085834796,,0.0003239608621607941,0.00032395994913137773,2
72,9,0.9990803030924509,,0.0008874620012720646,0.001704478078277912,3
73,6,0.9997288552341927,,0.0004377147541839622,0.0004377122868905414,2
73,9,0.9989640952022012,,0.000948881687260941,0.0017410546792902212,3
74,6,0.9996768501288831,,0.000519229874780585,0.0005192303020999033,2
74,9,0.9992274038923736,,0.0008420813913642081,0.0014245468836993872,3
75,6,0.9997043750278566,,0.0004722092230999404,0.00047221089648652264,2
75,9,0.9991391804304437,,0.0009255835213414666,0.0016850225952476229,3
76,6,0.9996706250092429,,0.0005224674358872701,0.0005224695560042563,2
76,9,0.9990623850562645,,0.0010019044030965783,0.0018291691734582509,3
77,6,0.9996360387649632,,0.0005729061707168775,0.0005728999065236012,2
77,9,0.9990280307611499,,0.001055768938342054,0.001913806698944624,3
78,6,0.9996026031682186,,0.0006201199682914285,0.0006201201787111638,2
78,9,0.9984767219355057,,0.0012839684040708717,0.0023540360952872485,3
79,6,0.9995842669215314,,0.0006425407747314581,0.0006425392576472489,2
79,9,0.9983427851500368,,0.0014275008662020814,0.00264931892578721,3
80,6,0.9993835559874542,,0.0009428969122531358,0.0009428824849159986,2
80,9,0.997992754446253,,0.001981942932303855,0.003759953566722753,3
81,6,0.999272653996883,,0.0011006965416641885,0.0011006918073445933,2
81,9,0.9981940012750766,,0.0019453300111488773,0.003630545871137446,3
82,6,0.9992271033579218,,0.00115759164220761,0.0011575989520587137,2
82,9,0.9988492908452247,,0.0013368692507199774,0.0024125067043989155,3
83,6,0.9991658613997418,,0.001235827015327734,0.0012358277467270748,2
83,9,0.9983775083682246,,0.0019041369236177947,0.0036331487127859866,3
84,6,0.9991201099518656,,0.0012885580810748705,0.0012885493373483567,2
84,9,0.9980213808853653,,0.0021713562031674756,0.004189490765995902,3
85,6,0.9990996766188482,,0.0013030968362261384,0.0013030968738711268,2
85,9,0.9969868600397829,,0.0033109987452172107,0.006518053695668631,3
86,6,0.9989582968227464,,0.0014893568167634623,0.0014893519763223499,2
86,9,0.9967245497093417,,0.0027160583248081135,0.005242706160741771,3
87,6,0.998821271218774,,0.00166361308068879,0.0016636015056101495,2
87,9,0.9949969167059645,,0.004694981496856179,0.009203681705448117,3
88,6,0.9988874371412915,,0.0015499512290505278,0.0015499609234229748,2
88,9,0.9973646069360707,,0.00316863711127603,0.00600921408031124,3
89,6,0.9979148366152573,,0.0028666815472695364,0.0028666617678614528,2
89,9,0.9963050594270098,,0.003472357992167163,0.006773170329343089,3
90,6,0.9987093460914892,,0.0017490804405225948,0.0017490750295778735,2
90,9,0.9944595851366185,,0.0059129147023217095,0.011665806847563949,3
91,6,0.9990219636277528,,0.0013067058206144505,0.001306709993785904,2
91,9,0.994986547233456,,0.005606029386541573,0.010914048251030208,3
92,6,0.9988637529093085,,0.0014960163951448712,0.0014960297858863493,2
92,9,0.9969262023394221,,0.0028853337056490014,0.005575346260982948,3
93,6,0.9983792115592645,,0.0021032029376618997,0.0021032024991572895,2
93,9,0.9945480135704109,,0.005907121372991413,0.011673293742803834,3
94,6,0.9978823501777938,,0.0027098184298744916,0.0027098207839226884,2
94,9,0.9980286363431614,,0.0019988983025263445,0.0037404930722115494,3
95,6,0.9979687807684305,,0.0025616272460003775,0.002561623749637266,2
95,9,0.9968669374414636,,0.0038481642619891104,0.007316799570854781,3
96,6,0.9977251107574867,,0.0028267581752940032,0.0028267618492789177,2
96,9,0.9961274889007299,,0.0038021425247960435,0.007417630128000244,3
97,6,0.9978748089821143,,0.002604744025217114,0.0026047446417626877,2
97,9,0.9946105599377459,,0.005917313156627746,0.011590124923262382,3
98,6,0.9979238049159651,,0.002507096283234751,0.0025070997531514362,2
98,9,0.9970294225095918,,0.003422775098511677,0.006634639733570899,3
99,6,0.9979864000658417,,0.0023972719447478757,0.002397274519210477,2
99,9,0.9942284470853859,,0.00602219892589485,0.011790045023793543,3
100,6,0.9980544963051152,,0.0022841533532000228,0.002284168809279898,2
100,9,0.9965901435397728,,0.0037643017906097346,0.007337143238412582,3
101,6,0.9988286054887419,,0.0013557476206908898,0.0013557490001169215,2
101,9,0.9957115284454937,,0.0039564749762549456,0.007662031533262876,3
102,6,0.9990544371079811,,0.001078721462460471,0.0010787241502303148,2
102,9,0.9973210352300861,,0.0029316662433105252,0.005423990211687623,3
103,6,0.9983083833114785,,0.0019043733768145104,0.0019043759150250668,2
103,9,0.994889821663756,,0.004890943976587053,0.00954996669484149,3
104,6,0.9991623244079273,,0.0009293329790397169,0.0009293331180564684,2
104,9,0.9945363406037896,,0.004815769064307572,0.009477254722918835,3
105,6,0.9982409282798965,,0.0019247705431696867,0.0019247787614414982,2
105,9,0.9974178643670466,,0.0028763165968228206,0.005437111071055294,3
106,6,0.9991493839660024,,0.0009181800692208602,0.0009181896289629147,2
106,9,0.99622106955889,,0.0031872750514725244,0.0062112492803497645,3
107,6,0.9981503362555926,,0.0019686923989739235,0.0019686876539974107,2
107,9,0.9975769413638993,,0.0021896014671860717,0.004165934133529292,3
108,6,0.9989525041338714,,0.0010993141797015302,0.0010993148253345608,2
108,9,0.9978945468709177,,0.001898773604973734,0.0035394418871994094,3
109,6,0.9985471013795638,,0.001504673283488595,0.001504677803961454,2
109,9,0.9981721375098209,,0.0016216452443756193,0.0029395854427269916,3
110,6,0.9983356975037965,,0.0016995582017417527,0.0016995467722389517,2
110,9,0.9981821363665213,,0.001446659311291649,0.0027436012094026927,3
111,6,0.9984400974173384,,0.001571778383109033,0.0015717770165589592,2
111,9,0.9975628976733418,,0.0018020978299971822,0.0034723710325765744,3
112,6,0.9983485016231837,,0.0016420924096519332,0.001642093706865909,2
112,9,0.9983337045969097,,0.0011469048336126848,0.0021075738877591203,3
113,6,0.9984467188605265,,0.0015232609681791842,0.0015232470764663774,2
113,9,0.9984016003919347,,0.0010695564805339962,0.001937461309644456,3
114,6,0.9985277731112223,,0.001422973397611628,0.0014229730413084563,2
114,9,0.9985048573513184,,0.0009592695940870963,0.0016760522028147187,3
115,6,0.9984003105360152,,0.0015250201803797374,0.0015250349076720037,2
115,9,0.9990442175907142,,0.0009600754153683597,0.0016111422173858325,3
116,6,0.9986357543815567,,0.0012807129347988406,0.0012807126248018505,2
116,9,0.9985466882736069,,0.0011566149419385864,0.0020451684188336552,3
117,6,0.9985582917507179,,0.0013333828379406886,0.001333383616921942,2
117,9,0.9984957849224743,,0.001028527465875402,0.0017419680977402573,3
118,6,0.9985389884219231,,0.0013299261257629143,0.001329928498461674,2
118,9,0.9989149007127267,,0.0008472520789079188,0.0013799859994071185,3
119,6,0.9985318939897847,,0.0013139661292818192,0.0013139647681847046,2
119,9,0.9990429921299415,,0.0007689134001117896,0.0012325257488086363,3
120,6,0.9985436595270538,,0.001280795913419491,0.0012807931036648928,2
120,9,0.9991308655145296,,0.0007515059014763473,0.0012116607500926933,3
121,6,0.9985456629992153,,0.0012571304819515858,0.0012571248096004146,2
121,9,0.999204632209381,,0.0007038293504770417,0.0011224095646880955,3
122,6,0.9990270071041865,,0.0008248128605514046,0.0008248159410252095,2
122,9,0.999280868842509,,0.0006167859853882921,0.000978846688331448,3
123,6,0.9985930863075088,,0.001170376511327477,0.0011703775208398368,2
123,9,0.9992847325821961,,0.0006024243908419769,0.0009057321679697763,3
124,6,0.9982477493839711,,0.0014291460336224538,0.001429144509151271,2
124,9,0.9992990516158871,,0.0005349015517740158,0.0007723935183550005,3
125,6,0.9984409798789396,,0.0012453828369644974,0.00124538340861403,2
125,9,0.9993316227674107,,0.0005039473510853815,0.0007054637164607626,3
126,6,0.9982770980563833,,0.0013473831452164766,0.001347383657252182,2
126,9,0.9993552945403463,,0.0005008717090016492,0.0007005551698726979,3
127,6,0.9984507473948971,,0.0011871191756548738,0.001187122131820967,2
127,9,0.9992683387697738,,0.0005068055285263721,0.0007042994084113995,3
128,6,0.9982673113786924,,0.0012992166115740572,0.001299222497195147,2
128,9,0.9992509696846105,,0.00048647847674773947,0.0006196708109255988,3
129,6,0.9984775889515312,,0.001116679176953635,0.0011166743477982975,2
129,9,0.9993374586319363,,0.00043912985370651544,0.00035914711694952963,3
130,6,0.9981721672787639,,0.001312750143104543,0.0013127520197760045,2
130,9,0.9991662280932987,,0.00043142930730926847,0.0004712113170449538,3
131,6,0.9984201912373996,,0.001108912291970079,0.0011089100747833107,2
131,9,0.9993477428048695,,0.0003652095279885162,0.000318373402364536,3
132,6,0.9981518978798485,,0.001268177263204404,0.0012681731602454552,2
132,9,0.9991296406636567,,0.00040492712565240685,0.0004189094365851724,3
133,6,0.9985284175656683,,0.0009878824294111078,0.0009878773932216344,2
133,9,0.9993469008819335,,0.000351168738305185,0.0002792882438662071,3
134,6,0.9988674685049691,,0.0007423885178172969,0.0007423872746658249,2
134,9,0.9992197867413761,,0.0003754196719593837,0.00032440861359628564,3
135,6,0.998267070211006,,0.0011096435988807978,0.001109645518710448,2
135,9,0.9993008420907901,,0.0003530586600287098,0.0002312638352363039,3
136,6,0.9990157654554492,,0.0006157474356878307,0.0006157496659633377,2
136,9,0.9992071509102816,,0.00035052492281103056,0.00027899439479536124,3
137,6,0.9980959505767071,,0.0011619585216526692,0.0011619562244225559,2
137,9,0.9992477348345222,,0.00032913484067316224,0.0002371968119283342,3
138,6,0.9983051769597928,,0.0010096158224706378,0.0010096133099703854,2
138,9,0.999185272969123,,0.0003334166447052822,0.00027675180748381044,3
139,6,0.9985822710825215,,0.0008249137735986687,0.0008249157475012509,2
139,9,0.9991988571005701,,0.0003394948312948672,0.00029140934109709037,3
140,6,0.9978121127954054,,0.001241332167879812,0.001241329871718528,2
140,9,0.999223149064433,,0.0003449097458578185,0.0003016424522214835,3
141,6,0.9978100428974198,,0.0012123026545647216,0.0012123040761651733,2
141,9,0.9991390893735193,,0.00036328587297818814,0.0003052928876280594,3
142,6,0.9975082843571657,,0.0013464333341212207,0.0013464272825711337,2
142,9,0.9990463236657621,,0.0003807000139523041,0.0003171375811132656,3
143,6,0.9983507568978838,,0.0008683239568412621,0.0008683234610188187,2
143,9,0.9989517916810842,,0.0003754823546501599,0.0003282037044412038,3
144,6,0.9970425910158994,,0.0015181861877442693,0.001518186365493736,2
144,9,0.9987992924930704,,0.00038687958298361285,0.0003328679714387747,3
145,6,0.9973783168421844,,0.0013128628683065965,0.0013128659988381817,2
145,9,0.9983928762996093,,0.00040491006946210097,0.0002685183648115648,3
146,6,0.9975798977479646,,0.0011798905193592286,0.001179892565765913,2
146,9,0.9982890439439597,,0.0004148874775505649,0.00026336154094782987,3
147,6,0.9978252618758698,,0.0010326494987839907,0.001032648361437508,2
147,9,0.9980577540758278,,0.0004245330815369544,0.0002806358177820491,3
148,6,0.9980208720829751,,0.0009154247932973234,0.0009154249252286668,2
148,9,0.9977342668555396,,0.0004342545671114442,0.0003075124319451934,3
149,6,0.9981321562032452,,0.0008397361551334487,0.0008397364924733403,2
149,9,0.9973861161402734,,0.00044877031825882254,0.0003416644736494765,3
150,6,0.9983013583981182,,0.0007438677040967548,0.0007438680686635107,2
150,9,0.9966033415345337,,0.0006401853531959921,0.00036019138345879916,3
151,6,0.99843402149984,,0.0006690385104407151,0.0006690364591761529,2
151,9,0.9969907942597325,,0.0006159055428993469,0.00042782550744114743,3
152,6,0.9986208158330446,,0.0005734450941900604,0.0005734498925566975,2
152,9,0.9989131560218019,,0.0005292772455545517,0.0005119840283231649,3
153,6,0.9988100763315826,,0.0004817299666022357,0.0004817267833482173,2
153,9,0.9987292432988475,,0.0005353328065402226,0.0005060948870050595,3
154,6,0.9988780150657839,,0.0004422688206951653,0.0004422677053775905,2
154,9,0.9985919952755529,,0.0005684641622284458,0.0004402151126919131,3
155,6,0.9993000311913167,,0.0002680205473367351,0.00026801919203090906,2
155,9,0.9958383991925794,,0.000802514280944674,0.0003458425237785978,3
156,6,0.9995824516179546,,0.00015542762428662194,0.00015543040261383864,2
156,9,0.9953224361518946,,0.0008821793284602761,0.00033524897167735556,3
157,6,0.9984280865356499,,0.0005689583333383537,0.0005689586673412869,2
157,9,0.996136527771947,,0.0007782689150785298,0.0005066581280302213,3
158,6,0.9986892171106774,,0.0004602112928373937,0.000460208094077856,2
158,9,0.9968380683717457,,0.0011075040931632812,0.000403875154183138,3
159,6,0.9991001829586355,,0.00030656278116908913,0.00030656368702171647,2
159,9,0.9965303622572067,,0.0009357879936182658,0.0005982335080311842,3
160,6,0.9987571216376858,,0.00041091618321087604,0.00041091695888263995,2
160,9,0.9969744440807453,,0.001248981987346687,0.00046672631503729957,3
161,6,0.9992412215752045,,0.00024281727920779056,0.00024281663750568274,2
161,9,0.9969201861435175,,0.0009467730780407911,0.0005982267918810489,3
162,6,0.9992970348670402,,0.00021790895304665207,0.00021790937755712748,2
162,9,0.9970714363092614,,0.0013221188740779215,0.0004768975536511398,3
163,6,0.999125162473209,,0.0002627868250617336,0.00026278493827755045,2
163,9,0.9972102294809857,,0.0009629661189317438,0.0006369983324874047,3
164,6,0.9983361995993436,,0.0004829862397521631,0.000482990562531544,2
164,9,0.9971966309920313,,0.0014751890508572295,0.0005758560468625033,3
165,6,0.9985945851168168,,0.00039450984661333665,0.0003945124116610429,2
165,9,0.9975046346380866,,0.0010943115829965492,0.0007654292935209684,3
166,6,0.9986307022569078,,0.0003717684746664597,0.00037176616274293023,2
166,9,0.9976398426449602,,0.0015745608104236434,0.0007020798116754803,3
167,6,0.9987821605168339,,0.00031914768892668457,0.00031914621178292575,2
167,9,0.9977885327695206,,0.0011731595060377907,0.0007670828202950528,3
168,6,0.9986610584412274,,0.0003388182187466012,0.0003388198676745442,2
168,9,0.9978690946785658,,0.0015703118605905324,0.0006661639255075298,3
169,6,0.9991252593072517,,0.00021357204972416934,0.0002135719765372846,2
169,9,0.9980442439387949,,0.001158839593873739,0.0007202101144240581,3
170,6,0.9991687666360938,,0.00019564269725613626,0.00019564346806199548,2
170,9,0.9980076948027581,,0.00154520394201508,0.0006713000109378121,3
171,6,0.9989048663119412,,0.0002483322066123734,0.0002483313098654251,2
171,9,0.9981762995568857,,0.0011185944556274807,0.0007835474738086966,3
172,6,0.99907749997057,,0.00020142860283836768,0.00020142849195126743,2
172,9,0.9982442156985329,,0.0014633722852850249,0.0005993765905411333,3
173,6,0.9989879761062035,,0.00021264837368878398,0.00021264922740278617,2
173,9,0.9984424807393215,,0.0006912969762922523,0.0005581227221944066,3
174,6,0.999317533666018,,0.0001379747252481955,0.00013797426501278886,2
174,9,0.9989540076912091,,0.0011156557096212486,0.000789207410613227,3
175,6,0.9990225875612007,,0.00018975000641734339,0.00018975004824138504,2
175,9,0.9987666368045451,,0.0006075954205537931,0.0005316136462407258,3
176,6,0.9992964609912368,,0.0001311691255663372,0.0001311688832445195,2
176,9,0.999040029599944,,0.0010742186043623076,0.000703044776444758,3
177,6,0.9990566625341604,,0.00016858975469077298,0.00016858971463806343,2
177,9,0.9986283482379499,,0.0006837683898411418,0.00045283601789842707,3
178,6,0.9991180704365233,,0.0001511725770449223,0.00015117182768517197,2
178,9,0.9988000817608955,,0.001178509322672918,0.00048725479604740926,3
179,6,0.9992996175707562,,0.00011508715447021093,0.00011508636239538023,2
179,9,0.9987596196979498,,0.0009169682332508821,0.0006487274840027522,3
180,6,0.9994706238204595,,8.337505677204749e-05,8.337575816379008e-05,2
180,9,0.9991529074487063,,0.0010503374740156864,0.0007277621940700779,3
181,6,0.9994019398362242,,9.007180954435351e-05,9.007166525858764e-05,2
181,9,0.9988911959152547,,0.0006925142652073719,0.0005534913796405435,3
182,6,0.9994871573784225,,7.398850245368492e-05,7.398915708501265e-05,2
182,9,0.9992014276317739,,0.0006798285673883903,0.0005813943599188596,3
183,6,0.9994677323702856,,7.356071531353145e-05,7.35598504553622e-05,2
183,9,0.9986993692283281,,0.0006704706940590352,0.0006347896708566044,3
184,6,0.999492853085237,,6.70600203935695e-05,6.706029208645822e-05,2
184,9,0.9991319423229266,,0.0007627792070526241,0.0005637167098850512,3
185,6,0.999511731131129,,6.165885379937443e-05,6.16587669529133e-05,2
185,9,0.9987405454732687,,0.0007976985830697794,0.0007821111461756057,3
186,6,0.9996172885012694,,4.618379602537951e-05,4.6183267734025096e-05,2
186,9,0.9991752278923383,,0.0007420532076106198,0.0006547455663608365,3
187,6,0.9995446367503528,,5.248696010810581e-05,5.2485620369836485e-05,2
187,9,0.9990387883090063,,0.0006631652677897827,0.0008123836791930129,3
188,6,0.9995899998135984,,4.517556712095331e-05,4.5174909061929314e-05,2
188,9,0.9992717276880752,,0.0006555577898622641,0.0008847632405595277,3
189,6,0.9995352014067372,,4.8938601629664366e-05,4.8939460787206595e-05,2
189,9,0.9991908356932072,,0.0007876239439048234,0.0008145810271309114,3
190,6,0.9995816070693223,,4.203260209606469e-05,4.203313625892422e-05,2
190,9,0.9992947157796679,,0.0007123385178063618,0.0010836217022083788,3
191,6,0.9994882517649084,,4.89415926239046e-05,4.8941777636468895e-05,2
191,9,0.9991786954435065,,0.0008368399419288901,0.0009264735580489831,3
192,6,0.9996379567921956,,3.299643826611898e-05,3.299667947001176e-05,2
192,9,0.9990632174757478,,0.0008752576419048368,0.0013073935357078288,3
193,6,0.9995595631756519,,3.8137227040850446e-05,3.813753854159421e-05,2
193,9,0.9989332262534818,,0.000999285995464401,0.001267208059781653,3
194,6,0.9995597210746243,,3.617146733892868e-05,3.617115620189961e-05,2
