step,mse,r2,n_test,r2_clipped
0,1.1542325996520013,0.1672317387152264,9,0.1672317387152264
1,1.0493396753118935,0.1370321880827825,9,0.1370321880827825
2,0.9698262719073126,0.17653475265913343,13,0.17653475265913343
3,1.2882889274170575,-0.13934880730658306,9,-0.13934880730658306
4,1.5148053833739175,-0.39694171787508215,10,-0.39694171787508215
5,1.0651711593046445,-0.06805605623513811,6,-0.06805605623513811
6,0.9915204538270792,-0.002797930375338764,13,-0.002797930375338764
7,0.7692611592842251,0.1508355505054505,14,0.1508355505054505
8,0.9884215072819316,0.08257553551467423,9,0.08257553551467423
9,0.6995675519076496,0.3275135016711457,8,0.3275135016711457
10,1.117995432060162,0.049923425690017564,10,0.049923425690017564
11,0.5012511595830126,0.5512027103160706,7,0.5512027103160706
12,1.13810317900748,0.2293797150904507,10,0.2293797150904507
13,0.4130991232110372,0.7440705317112324,9,0.7440705317112324
14,0.7107476690916449,0.4731353329491362,17,0.4731353329491362
15,0.7261881209496299,0.45621778440950983,9,0.45621778440950983
16,0.8774493899128697,0.12481533551602148,13,0.12481533551602148
17,1.329212082703366,0.02658203424667477,11,0.02658203424667477
18,0.6169850621656584,0.29536366230982164,11,0.29536366230982164
19,1.0004253528318245,-0.32462959422625637,9,-0.32462959422625637
20,0.9440765281633245,0.3552324668375701,13,0.3552324668375701
21,0.8777718306300586,0.29429505711695825,10,0.29429505711695825
22,0.8823812417915367,0.4462114883701082,11,0.4462114883701082
23,0.7553307757797907,0.5126265282936064,11,0.5126265282936064
24,0.884865752290875,0.19310594746219023,7,0.19310594746219023
25,0.7674323878470194,0.46445774250595834,9,0.46445774250595834
26,0.76905203158604,0.3591988988667433,10,0.3591988988667433
27,0.51026740849027,0.3544710456438223,8,0.3544710456438223
28,0.9906736863986125,-1.6829167592257441,4,-1.0
29,0.966027729795603,0.3533318670055848,18,0.3533318670055848
30,1.4621737026817563,-0.23323982139362587,6,-0.23323982139362587
31,0.7484997841250075,0.4410917299478997,13,0.4410917299478997
32,0.6041637654532094,0.39904324327506746,8,0.39904324327506746
33,0.8663879559987777,0.2548963428266735,10,0.2548963428266735
34,0.667855852256251,0.40401345944895467,17,0.40401345944895467
35,0.8444737403001843,0.1936843310726637,12,0.1936843310726637
36,0.792194506488032,0.4802333945187923,10,0.4802333945187923
37,0.8090182418373408,0.4027944841611204,17,0.4027944841611204
38,0.8687777240295154,0.361586395542769,16,0.361586395542769
39,0.48887680533251576,0.6288987951747065,7,0.6288987951747065
40,0.4446983463563373,0.7047202892799156,6,0.7047202892799156
41,0.5870859937573991,0.30312977319257134,7,0.30312977319257134
42,0.758753766744172,0.20035943417387125,8,0.20035943417387125
