component,r2_train,r2_test,mse_train,mse_test,n_train_samples,n_test_samples,feature_dim,target_dim
agent_pos,0.9602217777902262,0.9643815564025142,0.03689233676454946,0.029866962217437933,2010,503,128,2
agent_sensors,-6.352196735506687e+20,-6.34519641308653e+20,0.0002777811777917052,0.000301301112841473,2010,503,128,3
joint_positions,0.9923039733687918,0.991774431763047,6.869643406902723e-05,7.113239621439228e-05,2010,503,128,41
wall_lidar,0.9939020811364581,0.9933769328653761,8.047880695038081e-05,8.461132245377365e-05,2010,503,128,16
wall_sensor,0.9992525614286385,0.9991298289777873,7.440590323513433e-05,8.614371681176886e-05,2010,503,128,4
zone_directions,0.7853580347378836,0.7683131933991263,0.06685566008494113,0.06969645138937776,2010,503,128,16
zone_distances,0.8361246855293898,0.8238213945281019,0.17878714676854043,0.19183671221505796,2010,503,128,8
zone_lidar,0.9967850282172522,0.9962168611794461,7.301197640628494e-05,8.42863885592326e-05,2010,503,128,16
