step,mse,r2,n_test,n_train
0,1.799654195020884e-12,0.9999022341651642,10,40
1,1.0146971770906769e-12,0.9995241552426242,5,45
2,4.9492062320685176e-11,0.9997798045484652,6,44
3,1.811125184355461e-11,0.9998524601359573,7,43
4,7.783267190990929e-11,0.9998378362699606,13,37
5,2.8828540915587126e-11,0.9997924585538975,10,40
6,6.92599266652005e-08,0.8564336714950335,7,43
7,1.4569812740810665e-08,0.9225284341850473,12,38
8,6.928766094815784e-11,0.9994721171735954,13,37
9,2.0592653084974376e-09,0.9971929925590339,10,40
10,1.0175237786632571e-10,0.9997415436274478,11,39
11,1.411554616915463e-10,0.9994574482732386,8,42
12,1.4691422994000856e-10,0.9996852467083961,8,42
13,3.094159881257247e-11,0.9998097424533484,7,43
14,3.3151568750338174e-11,0.9998194032653249,11,39
15,1.3302662491601435e-10,0.9992716920556606,10,40
16,2.866504642544942e-10,0.9991324700081212,11,39
17,1.699219578159647e-11,0.9997936669039427,10,40
18,8.867966384041999e-11,0.9996646850563752,9,41
19,2.029194176784354e-11,0.999745688769792,14,36
20,8.65584521243091e-12,0.9997959107003844,6,44
21,1.8220513726323084e-09,0.9882300864208948,9,41
22,4.959288938608866e-11,0.9995343628115787,10,40
23,2.5867952350530148e-11,0.9996351048363512,15,35
24,6.055748458461583e-09,0.9234865461026187,5,45
25,4.308066178450111e-08,0.8950593628458687,10,40
26,8.585740511746247e-12,0.9999671927382737,7,43
27,7.293469458202701e-11,0.9999098412503835,5,45
28,9.016065719338911e-11,0.9999115929694482,12,38
29,1.1937544483740582e-10,0.999805742948179,7,43
30,4.205120541223469e-11,0.999961558517334,15,35
31,2.433163751397185e-09,0.9982502575606492,13,37
32,1.896587855853273e-10,0.9998406332325158,9,41
33,4.5567758620312036e-10,0.9998349584043734,10,40
34,3.871494886735129e-08,0.9873925961288764,14,36
35,8.985900225363558e-10,0.999726336192692,16,34
36,5.845288333426654e-07,0.8359934304753911,8,42
37,2.32047548470565e-06,0.38999122193713537,13,37
38,2.0419438758615763e-10,0.9999498111039126,13,37
39,8.928866451902977e-10,0.9997973998720096,11,39
40,1.6591358421884343e-06,0.6419725920041512,10,40
41,1.9086672668029556e-06,0.6058668990508074,9,41
42,2.60257457058658e-10,0.9999488618742596,16,34
43,9.845141245458462e-10,0.9997862535966167,7,43
44,1.5621806211594696e-06,0.6907253916457804,14,36
45,5.464472577215834e-06,0.010897747382406842,12,38
46,9.007361836003389e-07,0.845747764788729,9,41
47,5.75845288989718e-06,0.005983575093164051,12,38
48,6.120258725956526e-06,-0.1917035075720711,10,40
49,5.8581301884893704e-06,0.05696502719343255,15,35
50,5.125667967302359e-06,0.15573982264973651,14,36
51,6.894067535770365e-06,0.03488766209284361,8,42
52,2.7618141446762906e-06,0.5765001118634292,8,42
53,7.751159344188725e-06,-0.6402932187270338,10,40
54,6.302818243282521e-06,-0.1901378306913425,11,39
55,6.308878525375584e-06,0.023340169611101913,6,44
56,1.9299280593720502e-07,0.9710101391032213,9,41
57,8.23535568505109e-06,-1.0352786858597947,12,38
58,6.927072414549707e-07,0.8986688162206102,8,42
59,6.700675334400335e-06,0.09222978061513859,12,38
60,4.141514087261564e-10,0.9999379575998184,14,36
61,1.913718192402165e-09,0.9997185977614894,13,37
62,3.6459060696769284e-09,0.9995026109636611,11,39
63,2.886553026244138e-08,0.9912968846564694,7,43
64,1.4300400364205568e-08,0.9965617955982998,10,40
65,2.296317703891623e-08,0.0,4,46
66,6.545460917938879e-08,0.9766776271185189,10,40
67,2.0705272815216994e-09,0.9977018036404514,12,38
68,1.0780809133712435e-07,0.8214109971117256,8,42
69,1.5059134442713e-06,-0.1765541439151298,11,39
70,6.719616669024552e-08,0.9644521446374937,9,41
71,4.7355028687103864e-07,0.725060392455972,10,40
72,2.0698819320785415e-09,0.998406201339311,13,37
73,6.591192867188963e-10,0.9993880822199146,12,38
74,1.4234236282832703e-09,0.9984881439454503,9,41
75,2.8020372164877324e-09,0.9970073595039084,6,44
76,1.7567517490085094e-08,0.9837321230466559,7,43
77,2.7442388860048373e-08,0.9802232356166121,10,40
78,5.5525004152460243e-08,0.9720808816721124,10,40
79,6.575199141184583e-09,0.9957534480815338,6,44
80,1.5961250215922274e-09,0.9995351858972688,9,41
81,2.8037573348245044e-07,0.8885695959611584,7,43
82,4.346310857813219e-07,0.9338011425707864,12,38
83,6.495848034708599e-07,0.9229178671565488,13,37
84,6.75163486612753e-07,0.935774247925936,9,41
85,7.425149138653818e-07,0.9430901645124133,9,41
86,8.072186985942881e-07,0.9495380986059878,6,44
87,1.5351153241042884e-06,0.9163903406960014,11,39
88,2.446001813510851e-06,0.8750300950669045,9,41
89,2.5631009308513904e-06,0.899827517716144,6,44
90,3.1787781231101904e-06,0.8879617419614689,10,40
91,3.5466576602538244e-06,0.8814460960307451,9,41
92,2.3587768132290972e-06,0.9373557051359547,11,39
93,1.33465750949326e-05,0.6305237512039994,13,37
94,9.36325658932334e-06,0.7994841724280017,17,33
95,1.824208863734804e-05,0.6421585284572795,9,41
96,7.878187415002349e-06,0.8532705588356675,14,36
97,2.1915878081350104e-06,0.9641977003163592,11,39
98,3.156315565225925e-05,0.5370202197682201,14,36
99,7.689187801271797e-05,-3.7521939325624314e+26,8,42
100,6.93108462413261e-05,0.21955296238804684,11,39
101,7.550990798293511e-05,0.21795739595679925,8,42
102,0.00010229651092676972,0.15306461057611453,11,39
103,0.00011719005512359145,0.1400767401503224,12,38
104,0.000132495558891218,-0.2062885448369074,9,41
105,1.2282863639154205e-05,0.9311579508567497,9,41
106,8.968737907334187e-08,0.9995567935444876,16,34
107,5.8602127139039553e-08,0.9997438708700241,11,39
108,3.7588321233947684e-07,0.9984667643143472,9,41
109,2.0302479210200695e-07,0.999229565822262,15,35
110,5.945540900550523e-08,0.999786918769669,7,43
111,9.457912131188063e-08,0.999683957650513,7,43
112,4.2325351107532215e-08,0.9998702847147142,9,41
113,2.3482140057746072e-07,0.9993348638498514,11,39
114,2.676982562123266e-07,0.9988908118310107,5,45
115,5.004965286220052e-07,0.9981902148320143,9,41
116,4.418851389977869e-07,0.9989935337899587,8,42
117,7.691349249211172e-08,0.9998147146561541,9,41
118,9.846595222477232e-08,0.9997404361786927,12,38
119,1.3277744037517814e-07,0.9997446821586957,16,34
120,1.4057313061956253e-07,0.9997342127774971,10,40
121,1.466819773763455e-07,0.9997346934748101,13,37
122,1.0734106464719773e-07,0.9997992691357891,11,39
123,3.5266944176364396e-07,-4.17245584661249e+24,8,42
124,9.735806822847017e-08,0.9998122599848245,9,41
125,1.764551916322071e-08,0.9999660607100844,12,38
126,6.244898535097062e-08,0.9998932454806915,7,43
127,1.888959306414213e-07,0.9996839077124833,11,39
128,1.56784147531157e-07,0.9993363373425201,9,41
129,1.243864074286997e-06,0.9979307844725099,7,43
130,3.0006665375511954e-07,0.9994960940001517,12,38
131,1.1259020932332665e-07,0.9998107893682704,14,36
132,1.0052002386334428e-07,0.9998351369670901,9,41
133,4.409863413090495e-08,0.9999253695879168,12,38
134,1.0181251863720441e-06,0.9974642366958615,9,41
135,1.2768724681510131e-06,0.9971750972280654,7,43
136,3.71661730734382e-07,0.9991016225010658,8,42
137,1.0171141434030788e-07,0.9998174968191695,11,39
138,3.773534553160627e-07,0.9992900802391229,8,42
139,2.4779932678957227e-07,0.9995586833184296,10,40
140,7.166672031310372e-07,0.9981775275638611,9,41
141,3.063456367922799e-08,0.9999424407016355,13,37
142,3.4501661919915404e-07,0.999388721202001,14,36
143,7.853311798562058e-08,0.9998628060788739,15,35
144,9.475793396438306e-08,0.9998367967593953,13,37
145,1.0188350825368544e-07,0.9998324592188503,11,39
146,0.00010759612958652352,0.7892767037309546,13,37
147,1.0870316012794301e-05,0.9818917554405135,8,42
148,5.76269850792324e-08,0.0,7,43
149,1.847449420853238e-07,0.9990452108097164,11,39
150,1.865746050564766e-07,0.9996726621855399,8,42
151,1.0032893017918066e-06,0.9979608393945936,10,40
152,1.530880665260719e-07,0.9997411969267997,10,40
153,1.6494989475113579e-07,0.9997161882682059,11,39
154,1.3701909677105856e-07,0.9997218556642373,11,39
155,5.281465019351245e-07,0.9988431701207021,4,46
156,2.69826006432088e-07,0.9995469324920957,10,40
157,8.952230145300466e-07,0.9984600700499494,14,36
158,1.50776954312169e-06,0.9974785054712757,15,35
159,1.674893295053704e-07,0.9997184423783221,4,46
160,1.3830116234914462e-07,0.9996747549183308,9,41
161,1.1990498050068294e-07,0.9998003355875936,9,41
162,1.5873662524662194e-07,0.9996823412235092,13,37
163,2.663865746625425e-06,0.9950347428623478,10,40
164,1.0790742330307011e-06,0.9978106194653673,12,38
165,8.838122268789544e-08,0.9997563800023599,5,45
166,1.099749944038366e-07,0.9997892979628074,6,44
167,0.0001028791950735891,0.8190995723394972,8,42
168,1.2995995658589672e-07,0.9997849540053836,15,35
169,5.034521832348481e-06,0.9868818895578895,5,45
170,1.4514602040015476e-07,0.9997365173348545,5,45
171,8.829931869915936e-08,0.999843966984461,11,39
172,1.7072935493974336e-07,0.9996937605456089,8,42
173,1.2946844244893444e-07,0.9997652058056374,12,38
174,4.4148371510731556e-07,0.9990956814729107,12,38
175,1.5202347471097241e-07,0.9997230779808703,10,40
176,1.2464069783533055e-07,0.9997685721863007,11,39
177,1.311835326884226e-07,0.9997261749967483,3,47
178,1.4227409315135917e-06,0.9973130664349991,7,43
179,5.242540096754817e-07,0.9990298601241465,8,42
180,5.55476849031948e-08,0.9998914408901163,10,40
181,1.3519614754301539e-05,0.9715400437790652,9,41
182,7.74769854673901e-07,0.9985352776660656,10,40
183,0.00010205554155743095,0.8153858627423234,10,40
184,0.00016638014004318613,0.6894113108497968,9,41
185,2.95410381804448e-07,0.9994098940254212,10,40
186,9.15292169929796e-08,0.999817140842489,8,42
187,5.8711508560241276e-05,0.8741517406402095,16,34
188,2.0334126641547972e-05,0.9587903640704256,14,36
189,8.70030642876869e-06,0.982499408688692,13,37
190,1.1933447067183888e-06,0.996335184726709,5,45
191,5.873753067996226e-08,0.9998874258687046,8,42
192,1.6747074769604762e-07,0.999659911830024,8,42
193,3.842784570452888e-06,0.9927927828190514,4,46
194,1.4796376682067533e-07,0.9997086286518314,14,36
