step,mse,r2,n_test,r2_clipped
1,0.018092963578861615,0.9817464498827118,3,0.9817464498827118
6,0.0013500696715430713,0.3872379780679092,2,0.3872379780679092
10,0.0051049249968063235,0.9566663394471027,2,0.9566663394471027
12,0.014609248751200541,-1.1982495723050794,2,-1.0
14,0.008402550601326641,0.37867230035270755,2,0.37867230035270755
26,0.008714938675495117,0.9753575068114786,2,0.9753575068114786
31,0.019270651403193447,0.9709983362351908,3,0.9709983362351908
34,0.016133314165273346,0.9764754219621796,3,0.9764754219621796
45,0.014077992238077822,0.9748397453169113,2,0.9748397453169113
50,0.0035685685130142017,0.9965251816874178,2,0.9965251816874178
51,0.013471592224910706,0.7346746153065313,2,0.7346746153065313
55,0.005331443746099446,0.9779538461905783,2,0.9779538461905783
69,0.003322212169301761,0.960559280883959,2,0.960559280883959
78,0.012425697937407287,0.9923412139733718,2,0.9923412139733718
113,0.00400479356559356,0.5157538785429274,2,0.5157538785429274
122,0.04895609906149646,0.9154668571437865,2,0.9154668571437865
130,0.009720511360278714,0.6670412954223175,2,0.6670412954223175
140,0.005213528099813439,0.8286719217152358,2,0.8286719217152358
143,0.010007626732192604,0.6418760069269852,2,0.6418760069269852
168,0.010520167504268265,-0.02071433686609786,2,-0.02071433686609786
186,0.02832900357354586,0.9838347691290199,2,0.9838347691290199
