timestamp,probe_type,split_type,target_feature,r2_train,r2_test,mse_train,mse_test,n_train,n_test,n_components,original_dims
20250725_134130,input,temporal,wall_lidar,0.09058523992140749,0.06768107660515692,0.22043175377209068,0.3087940239934516,5000,5000,3,80
20250725_134130,input,spatial,wall_lidar,0.08266518599687955,0.06982550579629226,0.28044294223876826,0.24531983850039887,5000,5000,3,80
20250725_134130,input,environmental,wall_lidar,0.08696905626345855,0.06717325751362388,0.2571415590912356,0.26445806404225325,5000,5000,3,80
