timestamp,probe_type,k_steps,split_type,r2_test,mse_test,n_train,n_test,input_dims,pca_dims
20250724_215004,output,5,temporal,0.30223236525076747,0.0029875070968583264,575,550,64,18
20250724_215004,output,5,spatial,-0.6055080919726062,0.004544047203416963,540,585,64,18
20250724_215004,output,5,environmental,-0.8600680369574687,0.005015672384827781,450,675,64,18
