timestamp,probe_type,split_type,target_feature,r2_train,r2_test,mse_train,mse_test,n_train,n_test,n_components,original_dims
20250723_144557,input,temporal,agent_pos,0.007058479887329938,0.005508766234506635,1.476824638300096,1.295436722099462,5000,5000,3,80
20250723_144557,input,spatial,agent_pos,0.007510313722696282,-0.0404365052360014,1.2416911028590567,1.5741686256351846,5000,5000,3,80
20250723_144557,input,environmental,agent_pos,0.014564343183254058,-0.036712828555079124,1.4383065782415554,1.3696630147076716,5000,5000,3,80
