timestamp,probe_type,k_steps,split_type,r2_test,mse_test,n_train,n_test,input_dims,pca_dims
20250724_214913,input,1,temporal,0.013928166605803316,0.00016871113918925216,625,600,80,3
20250724_214913,input,1,spatial,-0.07292542038079597,0.0001202270226617406,588,637,80,3
20250724_214913,input,1,environmental,-0.19940685491280286,0.000131985089392598,490,735,80,3
