timestamp,probe_type,split_type,target_feature,r2_train,r2_test,mse_train,mse_test,n_train,n_test,n_components,original_dims
20250724_204001,input,temporal,wall_lidar,0.09133682542339977,0.06516672419682562,0.21709074669580067,0.30114172491205554,5000,5000,3,80
20250724_204001,input,spatial,wall_lidar,0.0815224280986252,0.06778578432836754,0.2798853343878183,0.236018250276178,5000,5000,3,80
20250724_204001,input,environmental,wall_lidar,0.08832973874173902,0.06418981620634692,0.25409664724058184,0.2579521564264871,5000,5000,3,80
